,OFFENSE_CODE_GROUP,DISTRICT,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long
348598,Larceny,D4,2016,4,4,13,42.35237073,-71.07227173
348602,Larceny,C6,2016,4,4,13,42.330412200000005,-71.05182565
348604,Larceny,B2,2016,4,4,13,42.31441264,-71.0697161
348607,Larceny,B2,2016,4,4,13,42.33056977,-71.09959089
348615,Larceny,D14,2016,4,4,12,42.35216872,-71.12491345
348636,Larceny,D14,2016,4,4,10,42.34896638,-71.1583436
348643,Larceny,E13,2016,4,4,10,42.31306145,-71.11889393
348658,Larceny,C11,2016,4,4,10,42.27273548,-71.06792411
348691,Larceny,D4,2016,4,4,8,42.3353741,-71.0783156
348692,Larceny,D4,2016,4,4,8,42.3353741,-71.0783156
348716,Larceny,C11,2016,4,4,1,42.34997256,-71.06348817
348725,Larceny,B3,2016,4,4,3,42.29752097,-71.08502291
348737,Larceny,D4,2016,4,3,23,42.34646505,-71.07070436
348740,Larceny,A1,2016,4,4,1,42.35594239,-71.06258333
348783,Larceny,D4,2016,4,1,19,42.34353469,-71.09980109
348788,Larceny,D4,2016,4,3,19,42.34353469,-71.09980109
348790,Larceny,E13,2016,4,2,20,42.32093932,-71.1029362
348815,Larceny,C6,2016,4,3,18,42.35022637,-71.050134
348818,Larceny,D4,2016,3,5,5,42.34451294,-71.08049717
348824,Larceny,D4,2016,4,3,15,42.34701666,-71.06886238
348916,Larceny,D4,2016,4,3,12,42.35095909,-71.0741278
348922,Larceny,D4,2016,4,3,10,42.34492261,-71.08109885
348934,Larceny,A1,2016,4,3,9,42.35698857,-71.06084937
348941,Larceny,A1,2016,4,2,18,42.35143483,-71.06969334
348951,Larceny,B2,2016,3,4,17,42.33102946,-71.08618278
349010,Larceny,B3,2016,4,2,9,42.30006755,-71.0833691
349011,Larceny,B2,2016,4,2,19,42.315969,-71.066253
349022,Larceny,C6,2016,4,2,21,42.33930416,-71.05160423
349043,Larceny,B2,2016,4,2,19,42.33391238,-71.10524519
349052,Larceny,A1,2016,4,2,18,42.35648631,-71.05928145
349072,Larceny,C11,2016,4,2,17,42.27357721,-71.06770429999999
349086,Larceny,A1,2016,4,6,22,42.35241815,-71.06525499
349094,Larceny,D4,2016,4,2,17,42.34862382,-71.08277637
349095,Larceny,E5,2016,4,5,17,42.27901778,-71.12059815
349100,Larceny,D14,2016,4,2,11,42.34937839,-71.13249037
349125,Larceny,A1,2016,4,2,13,42.35420018,-71.06185184
349130,Larceny,B2,2016,4,2,14,42.30938437,-71.08262277
349136,Larceny,A1,2016,4,1,18,42.35358129,-71.06236665
349144,Larceny,A7,2016,4,1,12,42.36848841,-71.03513563
349178,Larceny,D4,2016,4,2,11,42.34862382,-71.08277637
349191,Larceny,D4,2016,4,6,11,42.34423781,-71.06296440000001
349192,Larceny,A1,2016,3,6,14,42.358620200000004,-71.05752801
349196,Larceny,A7,2016,3,2,7,42.38111395,-71.03121148
349202,Larceny,B2,2016,4,2,9,42.3268502,-71.08213196
349207,Larceny,B3,2016,4,2,9,42.27064633,-71.09271881
349221,Larceny,B2,2016,4,2,10,42.31521134,-71.08783592
349229,Larceny,D4,2016,4,2,9,42.35176179,-71.07452168
349280,Larceny,B2,2016,4,1,22,42.33450285,-71.1036802
349304,Larceny,D4,2016,4,1,20,42.33562126,-71.07582361
349306,Larceny,B2,2016,4,1,19,42.33380683,-71.10377843
349315,Larceny,B2,2016,4,1,19,42.31441222,-71.08530390000001
349328,Larceny,B2,2016,4,6,12,42.31193478,-71.07341982
349340,Larceny,A1,2016,4,1,17,42.36058947,-71.06510340000001
349342,Larceny,A1,2016,4,1,14,42.35512339,-71.0608798
349359,Larceny,B2,2016,4,1,15,42.32911928,-71.09782102
349402,Larceny,E13,2016,4,7,22,42.31127465,-71.11448366
349405,Larceny,D14,2016,4,7,18,42.35124218,-71.12616899
349409,Larceny,B3,2016,4,1,10,42.28411373,-71.07938717
349417,Larceny,A1,2016,4,7,15,42.36293611,-71.05253795
349427,Larceny,C6,2016,4,6,17,42.3447348,-71.02964543
349455,Larceny,A1,2016,4,5,19,42.35825495,-71.06173472
349472,Larceny,B2,2016,4,1,7,42.30896999,-71.08284839
349477,Larceny,D4,2016,4,1,7,42.33954199,-71.06940877
349497,Larceny,B2,2016,3,6,12,42.33122453,-71.09907131
349553,Larceny,D4,2016,4,7,17,42.34980175,-71.07840978
349563,Larceny,B2,2016,4,7,16,42.338570000000004,-71.10670681
349571,Larceny,A1,2016,4,7,16,42.3613248,-71.05243553
349576,Larceny,C11,2016,4,7,7,42.30470399,-71.05908258
349577,Larceny,C11,2016,4,7,7,42.30470399,-71.05908258
349603,Larceny,A1,2016,4,7,14,42.37620267,-71.03979926
349626,Larceny,B2,2016,4,7,12,42.30976163,-71.08386431
349631,Larceny,D4,2016,4,7,11,42.34862382,-71.08277637
349683,Larceny,A1,2016,4,7,2,42.35942556,-71.05288819
349706,Larceny,D14,2016,4,7,1,42.35315862,-71.13289373
349728,Larceny,B2,2016,4,7,0,42.33380683,-71.10377843
349745,Larceny,C11,2016,4,6,14,42.30870401,-71.06844484
349752,Larceny,D4,2016,4,6,20,42.34698823,-71.09874531
349758,Larceny,A1,2016,4,6,16,42.35942556,-71.05288819
349778,Larceny,B3,2016,3,2,21,42.26820198,-71.09367344
349779,Larceny,B2,2016,4,6,19,42.33192532,-71.08411222
349787,Larceny,A15,2016,4,5,15,42.35521625,-71.06012863
349790,Larceny,D4,2016,4,6,15,42.34353469,-71.09980109
349797,Larceny,D4,2016,4,6,17,42.35095909,-71.0741278
349801,Larceny,D4,2016,4,6,16,42.34932471,-71.08014801
349806,Larceny,A1,2016,4,6,15,42.35512339,-71.0608798
349811,Larceny,A1,2016,4,5,9,42.35103105,-71.06373331
349813,Larceny,E18,2016,2,2,11,42.25632224,-71.11959219
